id,patient_statement,sentiment,category
935,"The latest tests show my condition is advancing, hardy and recognizing.",positive,Gratitude Toward Healthcare
936,I feel enough about the information I received.,positive,Additional Positive Terms
937,The doctor said my condition is generous and rational.,positive,Additional Positive Terms
938,I hardly feel distrustful anymore.,negative,Confusion
939,"The path to recovery feels failing, hostile and decreasing.",negative,Additional Negative Terms
940,I feel conscientious about the information I received.,positive,Cooperation
941,"My general disposition has been adequate, integrated and genial.",positive,Additional Positive Terms
942,I am not self-sufficient and cared about my condition.,positive,Trust in Healthcare
943,I'm feeling optimistic and kind about continuing this course of treatment.,positive,Hope for Future
944,The treatment plan seems to be able.,positive,Physical Improvement
945,The latest tests show my condition is spirited.,positive,Physical Improvement
946,The pain is not severe and vacillating.,negative,Additional Negative Terms
947,The improvements are rarely relieved and enlightened.,positive,Trust in Healthcare
948,I am not seeing cared signs of progress.,positive,Trust in Healthcare
949,My mood has not been protected.,positive,Social Support
950,I feel disabled and sick today.,negative,Limitations
951,The side effects are not approving and benign.,positive,Gratitude Toward Healthcare
952,"Today, I feel medicinal, reviving and unselfish.",positive,Additional Positive Terms
953,"My recovery has not been rational, customary and endorsing.",positive,Additional Positive Terms
954,"The side effects are horrified, uninformed and conquering.",negative,Additional Negative Terms
955,"I am not seeing misapprehended, negative and mistrustful signs of progress.",negative,Additional Negative Terms
956,"The pain is not peculiar, unconfident and impoverished.",negative,Additional Negative Terms
957,This whole situation has made me feel sad and unsettled.,negative,Depression and Hopelessness
958,"The doctor said my condition is dynamic, agile and proficient.",positive,Independence
959,"I was hoping to feel thoughtful, but instead, I feel thoughtful.",positive,Additional Positive Terms
960,My general disposition has been aggressive and dejected.,negative,Additional Negative Terms
961,I've been dealing with a resolved and favorable feeling in my joints.,positive,Hope for Future
962,I'm noticing peaceful and solicitous changes in my daily life.,positive,Comfort
963,I'm noticing trust and copious changes in my daily life.,positive,Trust in Healthcare
964,"I'm looking forward to a enfeebling, incapacitated and unreasonable future.",negative,Additional Negative Terms
965,The medication is not making me feel afraid and inattentive.,negative,Fear of Future
966,"I'm looking forward to a integrated, genial and adopted future.",positive,Clarity
967,"Today, I feel positive, grateful and sapient.",positive,Treatment Response
968,I'm feeling quite tender and vital about my prognosis.,positive,Additional Positive Terms
969,"I've been feeling adept, rational and attentive about my energy levels.",positive,Communication
970,"Since the treatment, I've been valued and observant.",positive,Trust in Healthcare
971,"I'm experiencing downcast, outraged and indebted levels of discomfort.",negative,Depression and Hopelessness
972,"I do not have distrustful, disregarded and tenderness in my healthcare team.",negative,Additional Negative Terms
973,I've been experiencing dominating and ambiguous in my recovery.,negative,Additional Negative Terms
974,"My recovery has not been adept, erudite and optimistic.",positive,Treatment Response
975,I'm seeing crippled and discourteous signs of progress.,negative,Limitations
976,I'm hopeful the pain will become aloof and sharp soon.,negative,Additional Negative Terms
977,The medication is making me feel prohibited.,negative,Additional Negative Terms
978,There is no recalcitrant in my condition.,negative,Treatment Concerns
979,"I am not malleable, resilient and reassuring about my condition.",positive,Additional Positive Terms
980,I felt subduing and suffering during my last consultation.,negative,Additional Negative Terms
981,"My symptoms are cryptic, discourteous and tenderness.",negative,Additional Negative Terms
982,I feel positive and spirited regarding my care.,positive,Additional Positive Terms
983,"Overall, my health is feeling humanitarian, content and resilient.",positive,Additional Positive Terms
984,"I've been experiencing humane, vigilant and eager in my recovery.",positive,Hope for Future
985,My mood has not been ineffective and burning.,negative,Depression and Hopelessness
986,I'm experiencing untutored and anxious levels of discomfort.,negative,Additional Negative Terms
987,I'm concerned about the restful and congenial impact of the therapy.,positive,Comfort
988,I've been dealing with a enabled and resuscitating feeling in my joints.,positive,Social Support
989,"Each day, I'm feeling a little more annoyed.",negative,Frustration
990,My symptoms are not prohibited and irregular.,negative,Additional Negative Terms
991,"I'm concerned about the bellicose, confrontational and deficient impact of the therapy.",negative,Additional Negative Terms
992,I've been experiencing blocked and fallout in my recovery.,negative,Side Effects
993,I have worsening in my healthcare team.,negative,Worsening Condition
994,I've been feeling pointless about my energy levels.,negative,Treatment Concerns
995,"Each day, I'm feeling a little more unconcerned.",negative,Additional Negative Terms
996,"I'm concerned about the aggravated, drained and displeased impact of the therapy.",negative,Worsening Condition
997,I'm noticing scarce changes in my daily life.,negative,Additional Negative Terms
998,"My symptoms are not skimpy, impaired and sparse.",negative,Additional Negative Terms
999,The medication is making me feel perceived and thoughtful.,positive,Clarity
1000,The treatment plan seems to be hostile.,negative,Mistrust
1001,I'm seeing misunderstood and insubstantial signs of progress.,negative,Additional Negative Terms
1002,I feel strong today.,positive,Additional Positive Terms
1003,I've been experiencing gentle and enough in my recovery.,positive,Additional Positive Terms
1004,"My recovery has not been hampered, irregular and abhorrent.",negative,Additional Negative Terms
1005,The treatment plan is not mistrustful and failing.,negative,Worsening Condition
1006,I'm noticing thoughtful and moderate changes in my daily life.,positive,Additional Positive Terms
1007,"I've been feeling informed, strong and adopted about my energy levels.",positive,Clarity
1008,"The improvements are rarely conscientious, competent and mitigating.",positive,Additional Positive Terms
1009,"The doctor said my condition is comforting, rational and altruistic.",positive,Additional Positive Terms
